2310,MH47AS4318,Tempo,mcGDDMrjRxLlBEGdLkWe,KKPiWPcjGWxUqupMqZuO,TATA,2020,t,2022-06-25 18:28:10.561744+05:30,2022-06-25 18:28:10.56178+05:30,153,1,,21
2311,MH47AS4320,Tempo,AWQGJiYlLHnZteJfEPGU,FOjUDuykiVAAnXmdckrd,TATA,2020,t,2022-06-25 18:28:10.575888+05:30,2022-06-25 18:28:10.575908+05:30,153,1,,21
2312,MH47AS4293,Tempo,bbhdWCEMWEEdQtdlUuwG,IsmQDjnjPDdRUqWpvinI,TATA,2020,t,2022-06-25 18:28:10.578794+05:30,2022-06-25 18:28:10.578813+05:30,151,1,,19
2313,MH47AS4289,Tempo,VzEderMLJseqlrlXraeS,NzKzhAinvSZZItMcJkBX,TATA,2020,t,2022-06-25 18:28:10.581284+05:30,2022-06-25 18:28:10.581304+05:30,150,1,,23
2453,MH01CV2038,Side_Loading_Compactor,fdKRzOvZXaQhsQYepSwz,QCVtTkdRnjjXdwJqtykd,TATA,2019,t,2022-07-16 10:45:39.008995+05:30,2022-07-16 10:45:39.009027+05:30,72,1,,16
2456,MH02ER5492,Small_Closed_Vehicle,fdqRzOvZXAQhsQYeNSwz,fdKRzOvZXAQhseYeNSwo,TATA,1950,t,2022-07-16 10:52:39.576764+05:30,2022-07-16 10:52:39.576798+05:30,76,1,,21
2457,MH02ER5630,Small_Closed_Vehicle,QCVtTmdanjjXJwJqtykd,QClVtTkdRnjXJwJqtykd,TATA,2019,t,2022-07-16 10:54:12.263913+05:30,2022-07-16 10:54:12.263933+05:30,77,1,,20
2459,MH47Y5722,Small_Closed_Vehicle,QCVtTmdPnjjkJwJqtykd,QCVtTkdRnjjXJwJqtykf,TATA,2019,t,2022-07-16 10:57:18.375653+05:30,2022-07-16 10:57:18.375693+05:30,75,1,,12
1187,MH01CV0928,Refuse_Compactor,uoxHrRnWfDeugNPhKAGs,kWYCLdXsogYbITSEEoIL,TATA,2019,t,2022-07-16 15:27:56.225776+05:30,2022-07-16 15:27:56.225785+05:30,69,1,1,19
1841,MH01CV2289,Small_Closed_Vehicle,rFHoJlmxyLqvuLkXnymi,zCwdjYdpiJWWZaqgUdIe,TATA,2019,t,2022-07-16 16:01:15.152378+05:30,2022-07-16 16:01:15.152386+05:30,72,1,1,16
1093,MH01CV1945,Small_Closed_Vehicle,NdKrlXlPEICPXZoPoOcy,MCUDMetqbjFhTQhiInSt,TATA,2019,t,2022-07-16 17:06:51.556202+05:30,2022-07-16 17:06:51.556206+05:30,57,1,1,1
1077,MH01CV1702,Refuse_Compactor,tDKxjXPSnDOxRkuUFxYH,iJYREhJtPBokegOESyie,TATA,2019,t,2022-07-16 17:07:31.312937+05:30,2022-07-16 17:07:31.312961+05:30,59,1,1,2
1157,MH01CV1706,Refuse_Compactor,KuonynJmjtgmoIgyCtKy,mausMzfdueTpSvEiVtUd,TATA,2019,t,2022-01-20 22:59:59.284912+05:30,2022-01-20 22:59:59.284932+05:30,62,1,,5
1158,MH01CV3502,Refuse_Compactor,NPousGpjydLvXAiizFWz,YfwTETwzLXKNfKvhjbWV,TATA,2019,t,2022-01-20 22:59:59.286548+05:30,2022-01-20 22:59:59.286567+05:30,62,1,,5
1188,MH01CV2576,Refuse_Compactor,wmUkXXfIwSkvsqibHUan,yOXkFAMiaFOLwudtYsMV,TATA,2019,t,2022-01-20 22:59:59.330781+05:30,2022-01-20 22:59:59.330801+05:30,63,1,,8
1189,MH01CV2566,Refuse_Compactor,gQluhHePXZjHqedjCysn,GeFItKviTXpuutZIQoRz,TATA,2019,t,2022-01-20 22:59:59.332588+05:30,2022-01-20 22:59:59.332608+05:30,63,1,,8
2461,MH01CV2290,Small_Closed_Vehicle,fdKRzOvZXaQhsQYsNSwz,QCVtTkdnnjjXJwJqtykd,TATA,1950,t,2022-07-16 17:32:49.224628+05:30,2022-07-16 17:32:49.22471+05:30,72,1,,16
2462,MH01CV2296,Side_Loading_Compactor,fdKRzOvZXAQhsQYeNSdq,zpmsMmXIBCkSnaNjbQsj,TATA,2020,t,2022-07-18 11:21:53.193546+05:30,2022-07-18 11:21:53.193571+05:30,72,1,,16
